black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar1,pillar5,pillar5,pillar1,ground,ground,pillar1,pillar5,pillar5,pillar1,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar2,pillar6,pillar6,pillar2,boss,ground,pillar2,pillar6,pillar6,pillar2,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar3,pillar7,pillar11,pillar3,ground,ground,pillar3,pillar7,pillar11,pillar3,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar12,pillar8,pillar10,pillar12,ground,ground,pillar12,pillar8,pillar10,pillar12,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar4,ground,ground,pillar4,ground,ground,pillar4,ground,ground,pillar4,ground,ground,ground,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar1,pillar5,pillar5,pillar1,ground,ground,pillar1,pillar5,pillar5,pillar1,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar2,pillar6,pillar6,pillar2,ground,ground,pillar2,pillar6,pillar6,pillar2,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar3,pillar7,pillar11,pillar3,ground,ground,pillar3,pillar7,pillar11,pillar3,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar12,pillar8,pillar10,pillar12,ground,ground,pillar12,pillar8,pillar10,pillar12,ground,ground,ground,black,black
black,black,ground,ground,ground,pillar4,ground,ground,pillar4,ground,ground,pillar4,ground,ground,pillar4,ground,ground,ground,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black,black
